date,instrument,close,price_type,data_source,data_version,is_synthetic
2025-06-02,SYN_EXIT_UP,100,synthetic,local_exit_fixture,v1,true
2025-06-03,SYN_EXIT_UP,101,synthetic,local_exit_fixture,v1,true
2025-06-04,SYN_EXIT_UP,102,synthetic,local_exit_fixture,v1,true
2025-06-05,SYN_EXIT_UP,103,synthetic,local_exit_fixture,v1,true
2025-06-06,SYN_EXIT_UP,104,synthetic,local_exit_fixture,v1,true
2025-06-09,SYN_EXIT_UP,105,synthetic,local_exit_fixture,v1,true
2025-06-10,SYN_EXIT_UP,106,synthetic,local_exit_fixture,v1,true
2025-06-11,SYN_EXIT_UP,107,synthetic,local_exit_fixture,v1,true
2025-06-12,SYN_EXIT_UP,108,synthetic,local_exit_fixture,v1,true
2025-06-13,SYN_EXIT_UP,109,synthetic,local_exit_fixture,v1,true
2025-06-16,SYN_EXIT_UP,110,synthetic,local_exit_fixture,v1,true
2025-06-17,SYN_EXIT_UP,111,synthetic,local_exit_fixture,v1,true
2025-06-18,SYN_EXIT_UP,112,synthetic,local_exit_fixture,v1,true
2025-06-19,SYN_EXIT_UP,113,synthetic,local_exit_fixture,v1,true
2025-06-20,SYN_EXIT_UP,114,synthetic,local_exit_fixture,v1,true
2025-06-23,SYN_EXIT_UP,115,synthetic,local_exit_fixture,v1,true
2025-06-24,SYN_EXIT_UP,116,synthetic,local_exit_fixture,v1,true
2025-06-25,SYN_EXIT_UP,117,synthetic,local_exit_fixture,v1,true
2025-06-26,SYN_EXIT_UP,118,synthetic,local_exit_fixture,v1,true
2025-06-27,SYN_EXIT_UP,119,synthetic,local_exit_fixture,v1,true
2025-06-30,SYN_EXIT_UP,120,synthetic,local_exit_fixture,v1,true
2025-06-02,SYN_EXIT_DOWN,100,synthetic,local_exit_fixture,v1,true
2025-06-03,SYN_EXIT_DOWN,99,synthetic,local_exit_fixture,v1,true
2025-06-04,SYN_EXIT_DOWN,98,synthetic,local_exit_fixture,v1,true
2025-06-05,SYN_EXIT_DOWN,97,synthetic,local_exit_fixture,v1,true
2025-06-06,SYN_EXIT_DOWN,96,synthetic,local_exit_fixture,v1,true
2025-06-09,SYN_EXIT_DOWN,95,synthetic,local_exit_fixture,v1,true
2025-06-10,SYN_EXIT_DOWN,94,synthetic,local_exit_fixture,v1,true
2025-06-11,SYN_EXIT_DOWN,93,synthetic,local_exit_fixture,v1,true
2025-06-12,SYN_EXIT_DOWN,92,synthetic,local_exit_fixture,v1,true
2025-06-13,SYN_EXIT_DOWN,91,synthetic,local_exit_fixture,v1,true
2025-06-16,SYN_EXIT_DOWN,90,synthetic,local_exit_fixture,v1,true
2025-06-17,SYN_EXIT_DOWN,89,synthetic,local_exit_fixture,v1,true
2025-06-18,SYN_EXIT_DOWN,88,synthetic,local_exit_fixture,v1,true
2025-06-19,SYN_EXIT_DOWN,87,synthetic,local_exit_fixture,v1,true
2025-06-20,SYN_EXIT_DOWN,86,synthetic,local_exit_fixture,v1,true
2025-06-23,SYN_EXIT_DOWN,85,synthetic,local_exit_fixture,v1,true
2025-06-24,SYN_EXIT_DOWN,84,synthetic,local_exit_fixture,v1,true
2025-06-25,SYN_EXIT_DOWN,83,synthetic,local_exit_fixture,v1,true
2025-06-26,SYN_EXIT_DOWN,82,synthetic,local_exit_fixture,v1,true
2025-06-27,SYN_EXIT_DOWN,81,synthetic,local_exit_fixture,v1,true
2025-06-30,SYN_EXIT_DOWN,80,synthetic,local_exit_fixture,v1,true
2025-06-02,SYN_EXIT_FLAT,100,synthetic,local_exit_fixture,v1,true
2025-06-03,SYN_EXIT_FLAT,101,synthetic,local_exit_fixture,v1,true
2025-06-04,SYN_EXIT_FLAT,102,synthetic,local_exit_fixture,v1,true
2025-06-05,SYN_EXIT_FLAT,150,synthetic,local_exit_fixture,v1,true
2025-06-06,SYN_EXIT_FLAT,104,synthetic,local_exit_fixture,v1,true
2025-06-09,SYN_EXIT_FLAT,105,synthetic,local_exit_fixture,v1,true
2025-06-10,SYN_EXIT_FLAT,106,synthetic,local_exit_fixture,v1,true
2025-06-11,SYN_EXIT_FLAT,107,synthetic,local_exit_fixture,v1,true
2025-06-12,SYN_EXIT_FLAT,108,synthetic,local_exit_fixture,v1,true
2025-06-13,SYN_EXIT_FLAT,109,synthetic,local_exit_fixture,v1,true
2025-06-16,SYN_EXIT_FLAT,110,synthetic,local_exit_fixture,v1,true
2025-06-17,SYN_EXIT_FLAT,109,synthetic,local_exit_fixture,v1,true
2025-06-18,SYN_EXIT_FLAT,108,synthetic,local_exit_fixture,v1,true
2025-06-19,SYN_EXIT_FLAT,107,synthetic,local_exit_fixture,v1,true
2025-06-20,SYN_EXIT_FLAT,106,synthetic,local_exit_fixture,v1,true
2025-06-23,SYN_EXIT_FLAT,105,synthetic,local_exit_fixture,v1,true
2025-06-24,SYN_EXIT_FLAT,104,synthetic,local_exit_fixture,v1,true
2025-06-25,SYN_EXIT_FLAT,103,synthetic,local_exit_fixture,v1,true
2025-06-26,SYN_EXIT_FLAT,102,synthetic,local_exit_fixture,v1,true
2025-06-27,SYN_EXIT_FLAT,101,synthetic,local_exit_fixture,v1,true
2025-06-30,SYN_EXIT_FLAT,100,synthetic,local_exit_fixture,v1,true
